Country,Monitor 2007 ,Monitor 2008 ,Monitor 2010 ,Monitor 2012 ,Monitor 2014 ,Monitor 2016 ,Monitor 2018 ,Protect from tobacco smoke 2007 ,Protect from tobacco smoke 2008 ,Protect from tobacco smoke 2010 ,Protect from tobacco smoke 2012 ,Protect from tobacco smoke 2014 ,Protect from tobacco smoke 2016 ,Protect from tobacco smoke 2018 ,Offer help to quit tobacco use 2007 ,Offer help to quit tobacco use 2008 ,Offer help to quit tobacco use 2010 ,Offer help to quit tobacco use 2012 ,Offer help to quit tobacco use 2014 ,Offer help to quit tobacco use 2016 ,Offer help to quit tobacco use 2018 ,Warn about the dangers of tobacco 2007 ,Warn about the dangers of tobacco 2008 ,Warn about the dangers of tobacco 2010 ,Warn about the dangers of tobacco 2012 ,Warn about the dangers of tobacco 2014 ,Warn about the dangers of tobacco 2016 ,Warn about the dangers of tobacco 2018 ,Enforce bans on tobacco advertising 2007 ,Enforce bans on tobacco advertising 2008 ,Enforce bans on tobacco advertising 2010 ,Enforce bans on tobacco advertising 2012 ,Enforce bans on tobacco advertising 2014 ,Enforce bans on tobacco advertising 2016 ,Enforce bans on tobacco advertising 2018 ,Raise taxes on tobacco 2007 ,Raise taxes on tobacco 2008 ,Raise taxes on tobacco 2010 ,Raise taxes on tobacco 2012 ,Raise taxes on tobacco 2014 ,Raise taxes on tobacco 2016 ,Raise taxes on tobacco 2018 ,Anti-tobacco mass media campaigns 2007 ,Anti-tobacco mass media campaigns 2008 ,Anti-tobacco mass media campaigns 2010 ,Anti-tobacco mass media campaigns 2012 ,Anti-tobacco mass media campaigns 2014 ,Anti-tobacco mass media campaigns 2016 ,Anti-tobacco mass media campaigns 2018 
Afghanistan,1,1,1,1,2,2,2,3,3,3,3,3,5,5,3,3,3,3,3,3,3,2,2,2,2,2,4,2,4,4,4,4,4,5,5,Data not available,2,2,2,2,2,2,Data not available,Data not available,1,2,2,2,2
Albania,3,3,3,3,2,2,2,5,5,5,5,5,5,5,2,3,3,4,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,Data not available,4,4,4,4,4,4,Data not available,Data not available,5,2,2,3,2
Algeria,2,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,Data not available,4,3,4,3,3,3,Data not available,Data not available,2,2,2,1,1
Andorra,2,1,1,2,2,2,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,1,4,4,4,4,5,Data not available,Data not available,1,2,2,2,2
Angola,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,2,1,2,2,1,2,Data not available,Data not available,2,2,2,2,1
Antigua and Barbuda,2,2,2,2,2,1,2,2,2,2,2,2,2,5,3,3,3,3,3,3,3,2,2,2,2,2,2,4,2,2,2,2,2,2,5,Data not available,2,2,2,2,2,2,Data not available,Data not available,1,2,2,3,2
Argentina,4,4,4,4,4,4,3,2,2,2,5,5,5,5,4,4,4,4,4,4,4,2,2,2,5,5,5,5,2,2,2,4,4,4,4,Data not available,4,4,4,4,5,5,Data not available,Data not available,4,2,4,4,3
Armenia,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,5,5,2,2,2,2,2,2,2,Data not available,2,2,3,3,3,3,Data not available,Data not available,2,1,4,1,1
Australia,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,Data not available,4,4,4,4,4,5,Data not available,Data not available,5,5,5,5,5
Austria,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,4,4,4,4,5,5,Data not available,Data not available,2,2,2,5,5
Azerbaijan,1,1,2,3,3,4,4,3,3,3,3,3,3,1,2,2,3,3,2,3,3,2,2,3,3,3,3,3,4,4,4,4,4,4,5,Data not available,2,2,2,2,2,3,Data not available,Data not available,2,2,2,2,4
Bahamas,3,3,3,3,3,3,4,2,2,2,2,2,2,2,3,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,3,3,3,3,1,Data not available,Data not available,2,2,2,2,2
Bahrain,3,3,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,4,4,4,4,2,2,2,4,4,4,4,2,2,4,5,5,5,5,Data not available,3,3,2,2,2,4,Data not available,Data not available,4,5,2,3,3
Bangladesh,3,3,3,3,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,4,4,4,4,4,4,4,Data not available,3,3,4,4,4,4,Data not available,Data not available,2,5,5,5,4
Barbados,3,3,3,4,4,4,2,2,2,5,5,5,5,5,3,3,3,4,4,4,4,2,2,2,2,2,2,5,2,2,2,2,2,2,2,Data not available,3,3,3,3,3,3,Data not available,Data not available,5,2,2,2,2
Belarus,3,3,2,2,2,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,3,3,3,4,5,5,4,4,4,4,4,4,4,Data not available,3,3,3,4,3,4,Data not available,Data not available,2,5,5,1,5
Belgium,4,4,4,4,4,4,4,3,3,1,1,1,1,1,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,2,2,2,4,2
Belize,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,4,4,3,3,3,3,Data not available,Data not available,2,2,2,1,2
Benin,1,2,3,3,2,3,3,3,3,3,4,4,4,5,3,3,3,3,4,4,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,4,4,1,2
Bhutan,2,2,2,2,4,4,4,4,4,5,4,4,4,4,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,Data not available,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Data not available,Data not available,5,5,5,2,2
Bolivia (Plurinational State of),1,1,1,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,Data not available,3,3,3,3,3,3,Data not available,Data not available,2,3,2,2,4
Bosnia and Herzegovina,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,Data not available,4,4,4,5,5,5,Data not available,Data not available,2,2,2,1,2
Botswana,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,Data not available,3,4,3,4,3,3,Data not available,Data not available,4,1,2,2,3
Brazil,2,2,2,3,3,4,4,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,Data not available,4,4,4,4,4,5,Data not available,Data not available,3,3,4,3,5
Brunei Darussalam,1,1,1,2,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,Data not available,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Data not available,Data not available,4,2,4,2,5
Bulgaria,4,4,4,4,4,4,4,2,2,2,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,2,4,4,2,2
Burkina Faso,2,2,1,1,2,2,2,2,2,5,5,5,5,5,3,3,3,3,3,3,3,2,2,2,4,4,5,5,4,4,4,4,4,4,4,Data not available,3,3,3,3,3,3,Data not available,Data not available,2,2,2,2,2
Burundi,1,2,2,2,1,1,1,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,Data not available,4,4,4,3,3,3,Data not available,Data not available,2,2,2,1,2
Cabo Verde,3,3,3,4,4,4,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,2,2,2,4
Cambodia,3,3,3,3,4,4,4,2,2,2,2,4,5,5,3,3,3,3,3,3,3,2,2,3,3,3,5,5,2,2,2,4,4,4,4,Data not available,2,2,2,2,3,3,Data not available,Data not available,4,5,2,5,4
Cameroon,1,1,1,1,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,2,5,5,1
Canada,4,4,4,4,4,4,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,4,4,5,5,5,5,2,2,4,4,4,4,4,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,2,2,2,2
Central African Republic,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,3,1,3,1,3,Data not available,Data not available,2,1,4,1,2
Chad,2,3,2,2,1,1,1,2,2,5,5,5,5,5,2,2,2,3,3,3,3,2,2,3,3,3,5,5,4,4,5,5,5,5,5,Data not available,2,2,2,3,3,3,Data not available,Data not available,2,2,2,1,4
Chile,4,4,4,4,4,4,4,3,3,3,3,5,5,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,2,4,1,2,4
China,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,4,4,4,2,3,3,3,3,3,3,4,4,4,4,4,4,4,Data not available,3,3,3,4,4,4,Data not available,Data not available,2,5,5,5,4
Colombia,3,3,3,4,4,4,3,2,5,5,5,5,5,5,3,3,3,3,3,4,4,2,2,4,4,4,4,4,2,2,5,5,5,5,5,Data not available,3,3,4,3,3,5,Data not available,Data not available,5,4,5,5,1
Comoros,3,3,2,3,2,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,4,2,2,2,2,Data not available,3,4,4,4,3,3,Data not available,Data not available,2,1,2,2,2
Congo,3,3,2,2,2,1,1,2,2,2,5,5,5,5,3,4,4,4,4,4,4,2,2,2,3,3,3,3,4,4,4,4,4,4,5,Data not available,3,3,3,3,3,3,Data not available,Data not available,2,2,2,2,2
Cook Islands,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Data not available,3,3,4,4,4,4,Data not available,Data not available,2,2,2,2,2
Costa Rica,4,4,4,4,4,4,4,2,2,2,5,5,5,5,4,4,4,4,4,4,4,2,2,2,4,5,5,5,2,2,2,4,4,4,4,Data not available,3,3,4,4,4,4,Data not available,Data not available,2,5,4,5,5
Croatia,4,4,4,4,4,4,4,2,3,3,3,3,3,4,3,4,4,4,4,4,4,2,3,3,3,3,3,5,4,4,4,4,4,4,4,Data not available,4,4,4,5,5,5,Data not available,Data not available,2,3,2,2,2
Cuba,1,1,3,3,3,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,Data not available,5,1,5,4,4,4,Data not available,Data not available,5,5,5,1,1
Cyprus,2,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,4,4,4,4,4,4,4,Data not available,4,4,5,5,5,4,Data not available,Data not available,1,3,2,4,5
Czechia,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,4,5,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,4,3,4,2,4
Côte d'Ivoire,1,1,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,3,3,3,3,3,Data not available,Data not available,3,2,4,4,4
Democratic People's Republic of Korea,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,1,1,1,2,2,2,Data not available,Data not available,1,4,1,5,1
Democratic Republic of the Congo,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,Data not available,3,3,3,3,3,3,Data not available,Data not available,1,2,1,2,2
Denmark,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,5,5,5,5,3,3,3,4,4,5,5,4,4,4,4,4,4,4,Data not available,4,4,5,4,4,4,Data not available,Data not available,5,1,2,5,4
Djibouti,3,2,2,3,3,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,Data not available,2,3,3,3,3,1,Data not available,Data not available,2,2,4,1,2
Dominica,2,3,3,3,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,3,2,2,2,2,Data not available,Data not available,1,5,1,1,4
Dominican Republic,3,3,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,2,2,2,2
Ecuador,3,3,3,3,3,4,4,4,4,4,5,5,5,5,3,4,4,4,4,4,4,3,3,3,5,5,5,5,2,2,2,4,4,4,4,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,2,2,2,2
Egypt,4,4,4,4,4,4,4,3,3,5,5,5,5,5,4,4,4,4,3,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,Data not available,4,4,4,4,4,5,Data not available,Data not available,5,5,2,2,2
El Salvador,3,3,3,2,3,3,3,3,3,3,2,2,5,5,4,4,4,5,4,5,5,2,2,2,5,5,5,5,2,2,2,4,4,4,4,Data not available,3,4,4,4,4,3,Data not available,Data not available,4,5,5,5,5
Equatorial Guinea,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,2,2,3,3,3,3,Data not available,Data not available,2,2,2,1,1
Eritrea,3,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5,Data not available,4,4,4,4,4,4,Data not available,Data not available,4,2,2,1,2
Estonia,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,3,4,4,5,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,1,2,2,5,5
Eswatini,4,4,4,4,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,3,3,3,2,2,2,2,4,4,4,Data not available,3,3,1,3,3,4,Data not available,Data not available,2,2,1,1,2
Ethiopia,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,3,4,4,4,4,2,2,2,2,3,3,3,2,2,2,4,4,4,4,Data not available,3,3,3,2,2,2,Data not available,Data not available,2,3,2,4,4
Fiji,4,2,2,3,3,3,2,2,2,3,3,3,3,3,2,2,2,4,4,4,4,2,2,3,3,5,5,5,4,4,4,4,4,4,4,Data not available,3,1,3,3,3,3,Data not available,Data not available,2,3,4,5,5
Finland,3,3,3,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,5,3,5,1,3
France,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,4,4,4,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,3,4,4,1,5
Gabon,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,4,2,2,2,2,4,4,4,Data not available,2,2,2,2,3,2,Data not available,Data not available,1,2,2,2,2
Gambia,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,Data not available,4,4,3,3,4,3,Data not available,Data not available,2,2,4,2,4
Georgia,3,4,3,3,4,4,4,2,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,5,2,2,2,2,2,2,4,Data not available,3,3,3,3,4,4,Data not available,Data not available,4,5,2,4,5
Germany,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,5,4,4,4,4,4,Data not available,Data not available,5,4,4,4,5
Ghana,3,3,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,4,4,4,4,2,2,2,4,4,4,4,2,2,2,5,5,5,5,Data not available,3,2,2,3,3,3,Data not available,Data not available,2,5,5,2,4
Greece,4,4,4,4,4,4,4,2,2,5,5,5,5,5,3,3,3,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,4,5,5,5,5,5,Data not available,Data not available,5,1,1,2,2
Grenada,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,3,1,3,3,3,Data not available,Data not available,2,2,2,2,2
Guatemala,3,3,2,2,1,2,2,3,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,4,4,3,3,3,3,Data not available,Data not available,2,2,2,2,1
Guinea,1,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,Data not available,2,2,2,1,2,1,Data not available,Data not available,4,2,2,2,2
Guinea-Bissau,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,2,1,2,2
Guyana,2,2,2,2,2,3,3,2,3,3,3,3,3,5,3,3,4,4,4,4,4,2,2,2,2,2,2,5,2,2,2,2,2,2,5,Data not available,3,3,3,3,2,3,Data not available,Data not available,2,1,2,2,2
Haiti,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,1,1,1,1,3,1,Data not available,Data not available,1,2,1,2,2
Honduras,1,1,1,2,2,2,2,3,3,5,5,5,5,5,3,3,3,4,4,4,4,2,2,4,4,4,4,5,2,2,4,4,4,4,4,Data not available,3,3,3,3,3,3,Data not available,Data not available,4,4,3,5,4
Hungary,4,4,3,4,4,4,4,2,2,2,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,5,5,4,4,4,4,4,4,4,Data not available,4,5,5,5,4,4,Data not available,Data not available,3,4,3,2,2
Iceland,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,3,2,2,2
India,2,2,3,3,3,1,2,3,4,4,4,4,4,4,3,3,3,4,4,5,5,2,4,2,2,2,5,5,4,4,4,4,4,4,4,Data not available,3,3,3,3,4,4,Data not available,Data not available,5,5,5,4,4
Indonesia,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,4,4,4,2,2,2,2,2,2,2,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,2,2,5,5
Iran (Islamic Republic of),4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,Data not available,2,2,2,2,3,2,Data not available,Data not available,1,2,5,4,3
Iraq,2,2,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,4,4,4,2,2,2,2,3,3,3,4,4,4,4,4,4,4,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,2,2,3,5
Ireland,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,5,1,5,5,5
Israel,4,4,4,2,3,3,3,2,2,2,2,2,3,3,4,5,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,Data not available,4,4,5,5,5,5,Data not available,Data not available,4,2,1,2,2
Italy,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,4,3,4,5,5
Jamaica,2,3,3,3,2,2,3,2,2,2,2,5,5,5,4,4,4,4,4,5,5,3,3,3,3,5,5,5,2,2,2,2,2,2,2,Data not available,3,4,3,3,3,3,Data not available,Data not available,2,2,4,1,1
Japan,4,4,4,4,4,4,4,2,2,2,2,2,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,2,2,2,3
Jordan,4,4,4,4,4,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,Data not available,5,5,5,5,5,5,Data not available,Data not available,4,2,2,5,5
Kazakhstan,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,5,5,5,4,4,4,4,4,4,4,Data not available,2,3,3,3,3,4,Data not available,Data not available,5,2,5,4,1
Kenya,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4,4,3,3,3,3,4,4,4,5,5,5,5,5,5,5,Data not available,5,4,3,3,4,4,Data not available,Data not available,2,2,2,5,2
Kiribati,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,4,4,2,2,2,2,3,3,3,2,2,2,2,5,5,5,Data not available,4,4,4,3,3,3,Data not available,Data not available,2,2,4,5,2
Kuwait,4,4,4,4,4,4,4,2,2,2,4,4,3,3,4,4,4,5,5,5,5,2,2,2,4,4,4,4,4,4,4,4,4,5,5,Data not available,3,3,3,2,2,2,Data not available,Data not available,4,5,4,2,2
Kyrgyzstan,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,5,5,5,2,2,4,4,4,4,4,Data not available,3,3,3,3,3,3,Data not available,Data not available,2,1,2,1,2
Lao People's Democratic Republic,3,3,1,3,3,4,4,3,3,3,3,3,5,5,3,3,3,3,2,2,2,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,2,4,1,1
Latvia,4,4,4,4,4,4,4,2,4,3,3,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,Data not available,4,5,5,5,5,5,Data not available,Data not available,2,2,2,4,2
Lebanon,3,3,3,3,4,4,4,3,3,3,5,5,5,5,4,4,4,4,4,4,4,2,2,2,3,3,3,3,2,2,2,4,4,4,4,Data not available,3,3,3,3,3,3,Data not available,Data not available,5,4,5,2,3
Lesotho,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,3,3,3,1,4,Data not available,Data not available,2,2,2,1,4
Liberia,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,2,2,2,2,2,3,Data not available,Data not available,2,5,2,1,2
Libya,2,2,3,3,3,1,1,3,3,5,5,5,5,5,2,3,3,4,4,4,4,2,2,2,2,2,2,2,4,4,5,5,5,5,5,Data not available,2,2,2,2,2,2,Data not available,Data not available,2,2,5,2,2
Lithuania,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,4,4,Data not available,4,5,5,5,5,4,Data not available,Data not available,2,2,2,2,2
Luxembourg,4,4,4,4,4,4,4,2,2,2,2,2,2,3,2,2,4,4,4,5,5,3,3,3,3,3,3,5,4,4,4,4,4,4,4,Data not available,4,4,4,4,4,4,Data not available,Data not available,1,5,5,4,5
Madagascar,1,2,2,2,2,2,3,2,2,2,2,5,5,5,3,3,3,3,3,3,3,2,2,4,5,5,5,5,5,5,5,5,5,5,5,Data not available,4,5,5,5,5,5,Data not available,Data not available,5,5,2,2,2
Malawi,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,3,1,3,2,1,1,Data not available,Data not available,2,2,2,1,2
Malaysia,3,3,3,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,5,5,5,5,5,5,4,4,4,4,4,4,4,Data not available,4,4,4,4,4,4,Data not available,Data not available,5,5,5,5,1
Maldives,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,3,4,4,5,5,5,5,5,Data not available,3,3,3,4,4,4,Data not available,Data not available,2,1,1,2,2
Mali,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,4,4,2,2,2,3,3,3,3,2,2,5,4,4,4,4,Data not available,2,2,3,3,3,3,Data not available,Data not available,2,2,2,2,2
Malta,4,4,4,4,4,4,4,3,3,5,5,5,5,5,4,4,4,4,5,5,4,3,3,4,4,4,5,5,4,4,4,4,4,4,4,Data not available,5,5,5,4,5,5,Data not available,Data not available,4,3,2,1,1
Marshall Islands,3,2,2,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Data not available,4,3,3,4,4,4,Data not available,Data not available,2,1,1,2,1
Mauritania,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,Data not available,2,2,2,2,2,2,Data not available,Data not available,1,2,2,1,2
Mauritius,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,5,5,5,4,5,5,5,5,5,5,Data not available,5,4,4,4,4,5,Data not available,Data not available,2,5,4,5,2
Mexico,2,2,2,3,3,2,2,2,1,1,1,1,1,1,4,4,4,4,5,5,5,2,4,5,5,5,5,5,2,2,2,2,2,2,2,Data not available,4,4,4,4,4,4,Data not available,Data not available,2,2,4,1,1
Micronesia (Federated States of),2,2,2,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,Data not available,4,4,4,4,4,3,Data not available,Data not available,2,2,2,2,2
