Country,Code,Year,deaths
Afghanistan,AFG,2017,9241.250845
Albania,ALB,2017,4161.156448
Algeria,DZA,2017,18609.93068
American Samoa,ASM,2017,31.21813943
Andean Latin America,,2017,15795.109
Andorra,AND,2017,79.71227957
Angola,AGO,2017,8810.716924
Antigua and Barbuda,ATG,2017,38.04276392
Argentina,ARG,2017,51911.51827
Armenia,ARM,2017,4871.943861
Australasia,,2017,25764.17521
Australia,AUS,2017,21559.35178
Austria,AUT,2017,11502.30524
Azerbaijan,AZE,2017,12216.65581
Bahamas,BHS,2017,158.5935302
Bahrain,BHR,2017,329.056011
Bangladesh,BGD,2017,90795.05525
Barbados,BRB,2017,167.9684343
Belarus,BLR,2017,21496.83134
Belgium,BEL,2017,20077.50194
Belize,BLZ,2017,127.3457057
Benin,BEN,2017,1983.631895
Bermuda,BMU,2017,62.279987
Bhutan,BTN,2017,296.2936897
Bolivia,BOL,2017,4024.79707
Bosnia and Herzegovina,BIH,2017,8482.64675
Botswana,BWA,2017,901.3208983
Brazil,BRA,2017,167657.2694
Brunei,BRN,2017,286.4040863
Bulgaria,BGR,2017,20300.55028
Burkina Faso,BFA,2017,3335.304228
Burundi,BDI,2017,2735.950248
Cambodia,KHM,2017,12676.72666
Cameroon,CMR,2017,5243.707323
Canada,CAN,2017,49362.37534
Cape Verde,CPV,2017,125.6559008
Caribbean,,2017,38442.56216
Central African Republic,CAF,2017,2509.356867
Central Asia,,2017,79677.28717
Central Europe,,2017,246025.3627
"Central Europe, Eastern Europe, and Central Asia",,2017,783618.662
Central Latin America,,2017,102120.4082
Central Sub-Saharan Africa,,2017,30294.04654
Chad,TCD,2017,1657.958992
Chile,CHL,2017,10405.15837
China,CHN,2017,2197652.614
Colombia,COL,2017,19433.68056
Comoros,COM,2017,180.4491735
Congo,COG,2017,1556.248047
Costa Rica,CRI,2017,2203.799503
Cote d'Ivoire,CIV,2017,6312.139392
Croatia,HRV,2017,9340.339474
Cuba,CUB,2017,18457.31728
Cyprus,CYP,2017,1492.219646
Czech Republic,CZE,2017,20821.91529
Democratic Republic of Congo,COD,2017,16609.2889
Denmark,DNK,2017,11700.02393
Djibouti,DJI,2017,343.1192593
Dominica,DMA,2017,38.29548566
Dominican Republic,DOM,2017,7726.0708
East Asia,,2017,2298918.241
Eastern Europe,,2017,457916.0122
Eastern Sub-Saharan Africa,,2017,79456.11856
Ecuador,ECU,2017,4721.520812
Egypt,EGY,2017,69344.15356
El Salvador,SLV,2017,2218.898836
England,,2017,73217.73969
Equatorial Guinea,GNQ,2017,163.1812665
Eritrea,ERI,2017,1358.120013
Estonia,EST,2017,2160.762046
Ethiopia,ETH,2017,9462.55941
Fiji,FJI,2017,885.5265209
Finland,FIN,2017,5638.935713
France,FRA,2017,79002.38066
Gabon,GAB,2017,645.2545284
Gambia,GMB,2017,668.5313252
Georgia,GEO,2017,6798.576039
Germany,DEU,2017,141530.7646
Ghana,GHA,2017,5839.357332
Greece,GRC,2017,24401.28492
Greenland,GRL,2017,117.6802254
Grenada,GRD,2017,86.42423167
Guam,GUM,2017,115.8517895
Guatemala,GTM,2017,3768.877151
Guinea,GIN,2017,2275.048677
Guinea-Bissau,GNB,2017,318.8683091
Guyana,GUY,2017,412.0556424
Haiti,HTI,2017,4007.012847
High SDI,,2017,1560497.733
High-income,,2017,1437663.52
High-income Asia Pacific,,2017,250755.2542
High-middle SDI,,2017,1905959.626
Honduras,HND,2017,3974.176885
Hungary,HUN,2017,24006.57661
Iceland,ISL,2017,322.9597172
India,IND,2017,894371.5186
Indonesia,IDN,2017,227477.4228
Iran,IRN,2017,38921.0035
Iraq,IRQ,2017,11420.08598
Ireland,IRL,2017,5694.098105
Israel,ISR,2017,6092.146989
Italy,ITA,2017,84848.16327
Jamaica,JAM,2017,2157.549729
Japan,JPN,2017,200015.9569
Jordan,JOR,2017,3337.478597
Kazakhstan,KAZ,2017,20075.43204
Kenya,KEN,2017,9780.153392
Kiribati,KIR,2017,178.2485116
Kuwait,KWT,2017,1074.331136
Kyrgyzstan,KGZ,2017,3800.929919
Laos,LAO,2017,5375.053054
Latin America and Caribbean,,2017,328308.5771
Latvia,LVA,2017,4123.168757
Lebanon,LBN,2017,6405.711047
Lesotho,LSO,2017,1852.831943
Liberia,LBR,2017,927.9646239
Libya,LBY,2017,2751.850828
Lithuania,LTU,2017,5641.804972
Low SDI,,2017,587759.8865
Low-middle SDI,,2017,1027021.353
Luxembourg,LUX,2017,670.861559
Macedonia,MKD,2017,4278.87689
Madagascar,MDG,2017,5820.852189
Malawi,MWI,2017,3825.578819
Malaysia,MYS,2017,23650.09053
Maldives,MDV,2017,170.493631
Mali,MLI,2017,2594.435775
Malta,MLT,2017,627.1903014
Marshall Islands,MHL,2017,43.09421408
Mauritania,MRT,2017,526.5809138
Mauritius,MUS,2017,1125.890983
Mexico,MEX,2017,51575.45497
Micronesia (country),FSM,2017,80.39511966
Middle SDI,,2017,1976935.949
Moldova,MDA,2017,6386.435459
Mongolia,MNG,2017,2933.948223
Montenegro,MNE,2017,1723.68107
Morocco,MAR,2017,18401.83116
Mozambique,MOZ,2017,9799.240138
Myanmar,MMR,2017,68091.86506
Namibia,NAM,2017,1148.135903
Nepal,NPL,2017,23557.88028
Netherlands,NLD,2017,30790.92606
New Zealand,NZL,2017,4204.82343
Nicaragua,NIC,2017,1474.870867
Niger,NER,2017,1614.269819
Nigeria,NGA,2017,13479.00976
North Africa and Middle East,,2017,303889.0579
North America,,2017,471499.5617
North Korea,PRK,2017,36468.37282
Northern Ireland,,2017,2183.611622
Northern Mariana Islands,MNP,2017,26.34862507
Norway,NOR,2017,5898.261646
Oceania,,2017,13687.0514
Oman,OMN,2017,921.5833604
Pakistan,PAK,2017,128588.5322
Palestine,PSE,2017,1138.537368
Panama,PAN,2017,1541.893804
Papua New Guinea,PNG,2017,10566.14722
Paraguay,PRY,2017,4293.22832
Peru,PER,2017,7048.791114
Philippines,PHL,2017,93737.16162
Poland,POL,2017,76482.20545
Portugal,PRT,2017,11869.44749
Puerto Rico,PRI,2017,1865.767798
Qatar,QAT,2017,277.0562145
Romania,ROU,2017,40499.03361
Russia,RUS,2017,301067.822
Rwanda,RWA,2017,3787.438145
Saint Lucia,LCA,2017,113.0735346
Saint Vincent and the Grenadines,VCT,2017,69.92856977
Samoa,WSM,2017,178.6808504
Sao Tome and Principe,STP,2017,37.99243555
Saudi Arabia,SAU,2017,5603.74178
Scotland,,2017,11877.42028
Senegal,SEN,2017,2486.502447
Serbia,SRB,2017,24724.30057
Seychelles,SYC,2017,87.97832784
Sierra Leone,SLE,2017,2429.964059
Singapore,SGP,2017,2400.196018
Slovakia,SVK,2017,8241.237849
Slovenia,SVN,2017,2962.84239
Solomon Islands,SLB,2017,513.1625248
Somalia,SOM,2017,4876.434758
South Africa,ZAF,2017,29919.66097
South Asia,,2017,1137609.28
South Korea,KOR,2017,48052.69713
South Sudan,SSD,2017,2379.836171
Southeast Asia,,2017,589254.9068
"Southeast Asia, East Asia, and Oceania",,2017,2901860.199
Southern Latin America,,2017,67055.50966
Southern Sub-Saharan Africa,,2017,43035.66171
Spain,ESP,2017,63968.58969
Sri Lanka,LKA,2017,12688.89237
Sub-Saharan Africa,,2017,206161.998
Sudan,SDN,2017,2868.308281
Suriname,SUR,2017,476.1846626
Swaziland,SWZ,2017,498.9976676
Sweden,SWE,2017,13193.94806
Switzerland,CHE,2017,9671.171183
Syria,SYR,2017,10056.85705
Taiwan,TWN,2017,27762.98031
Tajikistan,TJK,2017,4164.573446
Tanzania,TZA,2017,15146.14977
Thailand,THA,2017,56234.80933
Timor,TLS,2017,805.0884028
Togo,TGO,2017,1518.722348
Tonga,TON,2017,80.27582689
Trinidad and Tobago,TTO,2017,1011.140418
Tropical Latin America,,2017,171950.4977
Tunisia,TUN,2017,10745.83504
Turkey,TUR,2017,77090.42216
Turkmenistan,TKM,2017,3882.849715
Uganda,UGA,2017,5556.863638
Ukraine,UKR,2017,117039.1876
United Arab Emirates,ARE,2017,2512.923969
United Kingdom,GBR,2017,92871.01715
United States,USA,2017,422011.2549
United States Virgin Islands,VIR,2017,85.09490103
Uruguay,URY,2017,4735.866845
Uzbekistan,UZB,2017,20932.37812
Vanuatu,VUT,2017,233.8658083
Venezuela,VEN,2017,15928.75566
Vietnam,VNM,2017,86358.10459
Wales,,2017,5592.245559
Western Europe,,2017,622589.0195
Western Sub-Saharan Africa,,2017,53376.1712
World,OWID_WRL,2017,7099111.294
Yemen,YEM,2017,12553.3278
Zambia,ZMB,2017,4353.51607
Zimbabwe,ZWE,2017,8714.714332
